id;Season;Episode;Title;Rating;Votes;Duration
;1;1;Winter Is Coming;9.1;38639;62
;1;2;The Kingsroad;8.8;29285;56
;1;3;Lord Snow;8.7;27694;58
;1;4;Cripples, Bastards, and Broken Things;8.8;26284;56
;1;5;The Wolf and the Lion;9.1;27349;55
;1;6;A Golden Crown;9.2;27079;53
;1;7;You Win or You Die;9.2;27556;58
;1;8;The Pointy End;9;25645;59
;1;9;Baelor;9.6;36217;57
;1;10;Fire and Blood;9.5;31789;53
;2;1;The North Remembers;8.8;24837;53
;2;2;The Night Lands;8.5;23458;54
;2;3;What Is Dead May Never Die;8.8;23178;53
;2;4;Garden of Bones;8.8;22415;51
;2;5;The Ghost of Harrenhal;8.8;22603;55
;2;6;The Old Gods and the New;9.1;23612;54
;2;7;A Man Without Honor;8.9;23003;56
;2;8;The Prince of Winterfell;8.8;22729;54
;2;9;Blackwater;9.7;39643;55
;2;10;Valar Morghulis;9.4;28089;64
;3;1;Valar Dohaeris;8.8;24808;55
;3;2;Dark Wings, Dark Words;8.6;22468;56
;3;3;Walk of Punishment;8.9;22678;56
;3;4;And Now His Watch Is Ended;9.6;30931;53
;3;5;Kissed by Fire;9;23110;57
;3;6;The Climb;8.8;22978;53
;3;7;The Bear and the Maiden Fair;8.7;22223;58
;3;8;Second Sons;9;22800;56
;3;9;The Rains of Castamere;9.9;86759;51
;3;10;Mhysa;9.2;25807;63
;4;1;Two Swords;9.1;29302;58
;4;2;The Lion and the Rose;9.7;45860;52
;4;3;Breaker of Chains;8.9;24709;57
;4;4;Oathkeeper;8.8;23734;55
;4;5;First of His Name;8.7;22964;53
;4;6;The Laws of Gods and Men;9.7;42269;51
;4;7;Mockingbird;9.1;25582;51
;4;8;The Mountain and the Viper;9.7;45935;52
;4;9;The Watchers on the Wall;9.6;38665;51
;4;10;The Children;9.7;37976;65
;5;1;The Wars to Come;8.5;26063;53
;5;2;The House of Black and White;8.5;22996;56
;5;3;High Sparrow;8.5;22275;60
;5;4;Sons of the Harpy;8.7;22877;51
;5;5;Kill the Boy;8.6;23165;57
;5;6;Unbowed, Unbent, Unbroken;8;26236;54
;5;7;The Gift;9;25303;59
;5;8;Hardhome;9.9;87059;61
;5;9;The Dance of Dragons;9.5;38099;52
;5;10;Mother's Mercy;9.1;36939;60
;6;1;The Red Woman;8.5;35873;50
;6;2;Home;9.4;42207;54
;6;3;Oathbreaker;8.7;30065;52
;6;4;Book of the Stranger;9.1;32360;59
;6;5;The Door;9.7;63527;57
;6;6;Blood of My Blood;8.4;29884;52
;6;7;The Broken Man;8.6;29021;51
;6;8;No One;8.4;33040;59
;6;9;Battle of the Bastards;9.9;185033;60
;6;10;The Winds of Winter;9.9;128642;68
;7;1;Dragonstone;8.6;46297;59
;7;2;Stormborn;8.9;39903;59
;7;3;The Queen's Justice;9.2;41611;63
;7;4;The Spoils of War;9.8;78989;50
;7;5;Eastwatch;8.8;39682;59
;7;6;Beyond the Wall;9;57960;70
;7;7;The Dragon and the Wolf;9.4;57484;80
;8;1;Winterfell;7.6;121831;54
;8;2;A Knight of the Seven Kingdoms;7.9;119961;58
;8;3;The Long Night;7.5;200283;82
;8;4;The Last of the Starks;5.5;152769;78
;8;5;The Bells;6;177957;78
;8;6;The Iron Throne;4.1;220581;80
